annot_gene_id,Known,Antisense,Intergenic
ENSMUSG00000000958.10,11.0,0.0,0.0
ENSMUSG00000000959.7,576.0,0.0,0.0
ENSMUSG00000000976.13,215.0,0.0,0.0
ENSMUSG00000001014.6,7.0,0.0,0.0
ENSMUSG00000001016.12,1252.0,0.0,0.0
ENSMUSG00000001017.15,2000.0,0.0,0.0
ENSMUSG00000001018.15,821.0,0.0,0.0
ENSMUSG00000001020.8,444.0,0.0,0.0
ENSMUSG00000001021.12,6.0,0.0,0.0
ENSMUSG00000001025.8,538.0,0.0,0.0
ENSMUSG00000001027.7,186.0,0.0,0.0
ENSMUSG00000001034.17,636.0,0.0,0.0
ENSMUSG00000001036.17,1095.0,0.0,0.0
ENSMUSG00000001039.12,47.0,0.0,0.0
ENSMUSG00000001052.15,374.0,0.0,0.0
ENSMUSG00000001053.15,339.0,0.0,0.0
ENSMUSG00000001054.9,894.0,0.0,0.0
ENSMUSG00000001056.3,597.0,0.0,0.0
ENSMUSG00000001062.18,138.0,0.0,0.0
ENSMUSG00000001065.15,126.0,0.0,0.0
ENSMUSG00000001082.12,462.0,0.0,0.0
ENSMUSG00000001089.14,305.0,0.0,0.0
ENSMUSG00000001098.15,5814.0,0.0,0.0
ENSMUSG00000001100.10,2546.0,0.0,0.0
ENSMUSG00000001105.15,845.0,0.0,0.0
ENSMUSG00000001119.7,1438.0,0.0,0.0
ENSMUSG00000001120.15,243.0,0.0,0.0
ENSMUSG00000001123.15,64.0,0.0,0.0
ENSMUSG00000001127.12,755.0,0.0,0.0
ENSMUSG00000001128.7,15.0,0.0,0.0
ENSMUSG00000001131.11,480.0,0.0,0.0
ENSMUSG00000001134.9,83.0,0.0,0.0
ENSMUSG00000001138.13,89.0,0.0,0.0
ENSMUSG00000001143.13,638.0,0.0,0.0
ENSMUSG00000001150.7,546.0,0.0,0.0
ENSMUSG00000001151.10,475.0,0.0,0.0
ENSMUSG00000001156.9,227.0,0.0,0.0
ENSMUSG00000001157.13,306.0,0.0,0.0
ENSMUSG00000001158.13,557.0,0.0,0.0
ENSMUSG00000001173.15,53.0,0.0,0.0
ENSMUSG00000001175.14,5854.0,0.0,0.0
ENSMUSG00000001211.15,2107.0,0.0,0.0
ENSMUSG00000001227.12,65.0,0.0,0.0
ENSMUSG00000001228.14,2475.0,0.0,0.0
ENSMUSG00000001229.9,1392.0,0.0,0.0
ENSMUSG00000001240.13,22.0,0.0,0.0
ENSMUSG00000001247.16,10.0,0.0,0.0
ENSMUSG00000001248.15,370.0,0.0,0.0
ENSMUSG00000001270.9,2714.0,0.0,0.0
ENSMUSG00000001280.13,158.0,0.0,0.0
ENSMUSG00000001281.10,290.0,0.0,0.0
ENSMUSG00000001285.12,341.0,0.0,0.0
ENSMUSG00000001288.15,802.0,0.0,0.0
ENSMUSG00000001289.12,1063.0,0.0,0.0
ENSMUSG00000001300.16,30.0,0.0,0.0
ENSMUSG00000001305.5,319.0,0.0,0.0
ENSMUSG00000001313.12,86.0,0.0,0.0
ENSMUSG00000001323.17,103.0,0.0,0.0
ENSMUSG00000001333.9,992.0,0.0,0.0
ENSMUSG00000001334.9,702.0,0.0,0.0
ENSMUSG00000001348.15,26.0,0.0,0.0
ENSMUSG00000001349.5,191.0,0.0,0.0
ENSMUSG00000001366.14,551.0,0.0,0.0
ENSMUSG00000001376.17,447.0,0.0,0.0
ENSMUSG00000001380.7,1776.0,0.0,0.0
ENSMUSG00000001383.9,273.0,0.0,0.0
ENSMUSG00000001403.13,297.0,0.0,0.0
ENSMUSG00000001415.10,857.0,0.0,0.0
ENSMUSG00000001416.13,8868.0,0.0,0.0
ENSMUSG00000001418.13,983.0,0.0,0.0
ENSMUSG00000001419.17,1104.0,0.0,0.0
ENSMUSG00000001420.13,34.0,0.0,0.0
ENSMUSG00000001424.14,3339.0,0.0,0.0
ENSMUSG00000001435.15,2099.0,0.0,0.0
ENSMUSG00000001436.15,1095.0,0.0,0.0
ENSMUSG00000001440.5,955.0,0.0,0.0
ENSMUSG00000001441.13,936.0,0.0,0.0
ENSMUSG00000001445.10,557.0,0.0,0.0
ENSMUSG00000001467.5,2673.0,0.0,0.0
ENSMUSG00000001472.17,1929.0,0.0,0.0
ENSMUSG00000001473.7,10468.0,0.0,0.0
ENSMUSG00000001482.15,350.0,0.0,0.0
ENSMUSG00000001493.9,3.0,0.0,0.0
ENSMUSG00000001497.18,1.0,0.0,0.0
ENSMUSG00000001504.10,49.0,0.0,0.0
ENSMUSG00000001506.10,1273.0,0.0,0.0
ENSMUSG00000001507.16,824.0,0.0,0.0
ENSMUSG00000001508.15,603.0,0.0,0.0
ENSMUSG00000001510.8,69.0,0.0,0.0
ENSMUSG00000001517.14,460.0,0.0,0.0
ENSMUSG00000001518.12,477.0,0.0,0.0
ENSMUSG00000001520.12,5.0,0.0,0.0
ENSMUSG00000001521.12,154.0,0.0,0.0
ENSMUSG00000001524.14,565.0,0.0,0.0
ENSMUSG00000001525.10,22642.0,0.0,0.0
ENSMUSG00000001542.7,65.0,0.0,0.0
ENSMUSG00000001552.14,780.0,0.0,0.0
ENSMUSG00000001555.10,4416.0,0.0,0.0
ENSMUSG00000001558.5,5.0,0.0,0.0
ENSMUSG00000001569.10,772.0,0.0,0.0
ENSMUSG00000001576.15,578.0,0.0,0.0
ENSMUSG00000001583.13,1.0,0.0,0.0
ENSMUSG00000001588.12,3.0,0.0,0.0
ENSMUSG00000001604.14,76.0,0.0,0.0
ENSMUSG00000001627.12,3809.0,0.0,0.0
ENSMUSG00000001630.13,110.0,0.0,0.0
ENSMUSG00000001632.16,187.0,0.0,0.0
ENSMUSG00000001642.18,4107.0,0.0,0.0
ENSMUSG00000001655.6,57.0,0.0,0.0
ENSMUSG00000001656.3,43.0,0.0,0.0
ENSMUSG00000001657.7,7.0,0.0,0.0
ENSMUSG00000001661.5,12.0,0.0,0.0
ENSMUSG00000001663.10,2.0,0.0,0.0
ENSMUSG00000001665.11,5.0,0.0,0.0
ENSMUSG00000001666.8,38.0,0.0,0.0
ENSMUSG00000001672.14,1.0,0.0,0.0
ENSMUSG00000001674.11,451.0,0.0,0.0
ENSMUSG00000001687.15,1097.0,0.0,0.0
ENSMUSG00000001700.10,141.0,0.0,0.0
ENSMUSG00000001707.8,430.0,0.0,0.0
ENSMUSG00000001729.14,4804.0,0.0,0.0
ENSMUSG00000001739.14,37.0,0.0,0.0
ENSMUSG00000001750.16,512.0,0.0,0.0
ENSMUSG00000001751.9,262.0,0.0,0.0
ENSMUSG00000001755.12,643.0,0.0,0.0
ENSMUSG00000001761.7,757.0,0.0,0.0
ENSMUSG00000001763.14,145.0,0.0,0.0
ENSMUSG00000001767.5,751.0,0.0,0.0
ENSMUSG00000001768.16,394.0,0.0,0.0
ENSMUSG00000001773.14,1.0,0.0,0.0
ENSMUSG00000001774.8,1379.0,0.0,0.0
ENSMUSG00000001783.3,2522.0,0.0,0.0
