match_type,gene
symbol,2810001G20Rik
symbol,2810002D19Rik
symbol,2810004N23Rik
symbol,2810006K23Rik
symbol,2810013P06Rik
symbol,2810021J22Rik
symbol,2810025M15Rik
symbol,2810039B14Rik
symbol,2810402E24Rik
symbol,2810403D21Rik
symbol,2810404M03Rik
symbol,2810405F17Rik
symbol,2810408A11Rik
symbol,2810408I11Rik
symbol,2810410L24Rik
symbol,2810414N06Rik
symbol,2810425M01Rik
symbol,2810430I11Rik
symbol,2810454H06Rik
symbol,2810455O05Rik
symbol,2810457G06Rik
symbol,2810468N07Rik
symbol,2900005J15Rik
symbol,2900009J06Rik
symbol,2900011O08Rik
symbol,2900026A02Rik
symbol,2900041M22Rik
symbol,2900052L18Rik
symbol,2900057B20Rik
symbol,2900076A07Rik
symbol,2900089D17Rik
symbol,2900093K20Rik
symbol,2900097C17Rik
symbol,3000002C10Rik
symbol,3010001F23Rik
symbol,3010003L21Rik
symbol,3110001I22Rik
symbol,3110009E18Rik
symbol,3110021N24Rik
symbol,3110039I08Rik
symbol,3110040N11Rik
symbol,3110045C21Rik
symbol,3110056K07Rik
symbol,3110080O07Rik
symbol,3110082I17Rik
symbol,3110083C13Rik
symbol,3222401L13Rik
symbol,3300002A11Rik
symbol,3300002I08Rik
symbol,3300005D01Rik
symbol,3830403N18Rik
symbol,3830406C13Rik
symbol,3830408C21Rik
symbol,4430402I18Rik
symbol,4631405J19Rik
symbol,4632404H12Rik
symbol,4632415L05Rik
symbol,4632427E13Rik
symbol,4632433K11Rik
symbol,4732416N19Rik
symbol,4732440D04Rik
symbol,4732465J04Rik
symbol,4732471J01Rik
symbol,4732487G21Rik
symbol,4732491K20Rik
symbol,4732496C06Rik
symbol,4831440D22Rik
symbol,4831440E17Rik
symbol,4833412C15Rik
symbol,4833412K13Rik
symbol,4833413G10Rik
symbol,4833417C18Rik
symbol,4833418N02Rik
symbol,4833420G17Rik
symbol,4833422C13Rik
symbol,4833427G06Rik
symbol,4833439L19Rik
symbol,4833445I07Rik
symbol,4921501I09Rik
symbol,4921504E06Rik
symbol,4921511C10Rik
symbol,4921514A10Rik
symbol,4921516A02Rik
symbol,4921524J17Rik
symbol,4921531C22Rik
symbol,4921536K21Rik
symbol,4930402H24Rik
symbol,4930403P22Rik
symbol,4930404A12Rik
symbol,4930404I05Rik
symbol,4930404N11Rik
symbol,4930405A21Rik
symbol,4930412B13Rik
symbol,4930412C18Rik
symbol,4930412M03Rik
symbol,4930414N06Rik
symbol,4930415O20Rik
symbol,4930417H01Rik
symbol,4930426L09Rik
symbol,4930430F08Rik
symbol,4930431P19Rik
symbol,4930432K21Rik
symbol,4930444A19Rik
symbol,4930445E18Rik
symbol,4930445N18Rik
symbol,4930447C04Rik
symbol,4930447F24Rik
symbol,4930447K03Rik
symbol,4930447N08Rik
symbol,4930451G09Rik
symbol,4930452B06Rik
symbol,4930453N24Rik
symbol,4930455C13Rik
symbol,4930455D15Rik
symbol,4930461G14Rik
symbol,4930463O16Rik
symbol,4930466K18Rik
symbol,4930467D21Rik
symbol,4930470G03Rik
symbol,4930471E19Rik
symbol,4930473A02Rik
symbol,4930473D10Rik
symbol,4930478M13Rik
symbol,4930479D17Rik
symbol,4930480K23Rik
symbol,4930481B07Rik
symbol,4930483O08Rik
symbol,4930486L24Rik
symbol,4930488L21Rik
symbol,4930500H12Rik
symbol,4930503L19Rik
symbol,4930505N22Rik
symbol,4930509E16Rik
symbol,4930509G22Rik
symbol,4930509H03Rik
symbol,4930511M06Rik
symbol,4930512B01Rik
symbol,4930512H18Rik
symbol,4930513N10Rik
symbol,4930515G01Rik
symbol,4930517E14Rik
symbol,4930517G19Rik
symbol,4930518I15Rik
symbol,4930520O04Rik
symbol,4930522L14Rik
symbol,4930523C07Rik
symbol,4930524O07Rik
symbol,4930525G20Rik
symbol,4930526A20Rik
symbol,4930527F14Rik
symbol,4930532G15Rik
symbol,4930533K18Rik
symbol,4930537H20Rik
symbol,4930539J05Rik
symbol,4930544F09Rik
symbol,4930544I03Rik
symbol,4930544M13Rik
symbol,4930547M16Rik
symbol,4930549G23Rik
symbol,4930550C14Rik
symbol,4930550L24Rik
symbol,4930551O13Rik
symbol,4930555F03Rik
symbol,4930556J24Rik
symbol,4930556M19Rik
symbol,4930556N13Rik
symbol,4930557F10Rik
symbol,4930557K07Rik
symbol,4930558J18Rik
symbol,4930562C15Rik
symbol,4930563E22Rik
symbol,4930565N06Rik
symbol,4930570G19Rik
symbol,4930578M01Rik
symbol,4930579G18Rik
symbol,4930579G24Rik
symbol,4930579K19Rik
symbol,4930581F22Rik
symbol,4930586N03Rik
symbol,4930589O11Rik
symbol,4930593A02Rik
symbol,4930594M22Rik
symbol,4930595D18Rik
symbol,4930599N23Rik
symbol,4931403E22Rik
symbol,4931406C07Rik
symbol,4931406P16Rik
symbol,4931413K12Rik
symbol,4931414P19Rik
symbol,4931415C17Rik
symbol,4931428F04Rik
symbol,4931440P22Rik
symbol,4932412D23Rik
symbol,4932422M17Rik
symbol,4932438A13Rik
symbol,4932441J04Rik
symbol,4932442E05Rik
symbol,4932443L11Rik
symbol,4933400F21Rik
symbol,4933404O12Rik
symbol,4933405D12Rik
symbol,4933406C10Rik
symbol,4933406I18Rik
symbol,4933406J10Rik
symbol,4933406P04Rik
symbol,4933407K13Rik
symbol,4933408B17Rik
symbol,4933412E12Rik
symbol,4933412L11Rik
symbol,4933417C20Rik
symbol,4933421O10Rik
symbol,4933423P22Rik
symbol,4933424G06Rik
symbol,4933424L21Rik
symbol,4933425M03Rik
symbol,4933427D14Rik
symbol,4933427G23Rik
symbol,4933430I17Rik
symbol,4933431E20Rik
symbol,4933431K14Rik
symbol,4933431K23Rik
symbol,4933433G15Rik
symbol,4933434E20Rik
symbol,4933439C10Rik
symbol,4933440N22Rik
symbol,5031415H12Rik
symbol,5031425E22Rik
symbol,5031434O11Rik
symbol,5031439G07Rik
symbol,5033403F01Rik
symbol,5033421B08Rik
symbol,5033430I15Rik
symbol,5330406M23Rik
symbol,5330417C22Rik
